Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind2_Ind17,0.020671433,0.280326387,0.565406652
2017,Ind17_Ind4,0.01740779,0.118170689,0.553425708
2017,Ind8_Ind17,0.020403147,0.055325533,0.575673063
2017,Ind10_Ind17,0.308823529,0.065842088,0.913552307
2017,Ind17_Ind19,0.254057869,0.10449817,0.860849644
2017,Ind17_Ind14,0.305064782,0.228911474,0.877199025
2017,Ind17_Ind22,0.162333545,0.054084686,0.875662601
2017,Ind17_Ind12,0.272242941,0.283142815,0.900022667
2017,Ind15_Ind17,0.293094073,0.061836233,0.922212136
2017,Ind34_Ind17,0.102652259,0.068829377,0.876237452
2017,Ind17_Ind20,0.28680203,0.050365092,0.861621089
2017,Ind24_Ind17,0.133862298,0.036394306,0.852828706
2017,Ind25_Ind17,0.130615234,0.049457602,0.852000163
2017,Ind17_Ind23,0.196868754,0.056263295,0.876101697
2017,Ind11_Ind17,0.290927522,0.098788518,0.901410745
2017,Ind17_Ind28,0.139522109,0.281112948,0.850912015
2017,Ind30_Ind17,0.122481869,0.116211267,0.846479155
2017,Ind17_Ind13,0.148463723,0.061274604,0.855087695
2017,Ind17_Ind26,0.117879747,0.28484652,0.817727904
2017,Ind35_Ind17,0.128252788,0.122490036,0.853444244
2017,Ind27_Ind17,0.128106509,0.118678414,0.859762004
2017,Ind16_Ind17,0.371241115,0.124844266,0.898580695
2017,Ind17_Ind31,0.124874372,0.018699278,0.860420266
2017,Ind1_Ind29,0.029834906,0.190550147,0.572025052
2017,Ind5_Ind29,0.030602172,0.120702857,0.580183191
2017,Ind6_Ind29,0.027265249,0.124403969,0.572624103
2017,Ind3_Ind29,0.034975555,0.218844399,0.560236567
2017,Ind9_Ind29,0.028340081,0.31738723,0.580687964
2017,Ind29_Ind7,0.029007634,0.31938504,0.58135438
2017,Ind2_Ind29,0.028712059,0.12303414,0.570599538
2017,Ind4_Ind29,0.029564776,0.306731053,0.561560358
2017,Ind8_Ind29,0.03396717,0.184787947,0.582441813
